policy_id,customer_id,policy_start_date,policy_end_date,policy_type,product,sum_assured,annual_premium,premium_frequency,tenure_years,age,gender,region,smoking_status,bmi,vehicle_age,is_active
68,316,20:59.0,20:59.0,Property,Home Insurance,345920,11904.51,Annual,19.6,68,Female,South,No,15.8,,0
69,14,20:59.0,20:59.0,Health,Family Floater,971287,42646.91,Annual,12.3,22,Female,North,No,26.7,,1
70,242,20:59.0,20:59.0,Property,Theft Protection,1678662,62280.14,Quarterly,14.5,36,Other,East,No,31.2,,0
71,777,20:59.0,20:59.0,Auto,Own Damage,185370,7869.73,Quarterly,1.1,51,Male,South,Yes,35.8,3,1
72,1370,20:59.0,20:59.0,Property,Theft Protection,906636,32593.3,Monthly,10.8,27,Male,North,No,16.2,,1
73,565,20:59.0,20:59.0,Auto,Third Party,922639,27213.18,Annual,1.7,42,Male,East,No,36.3,13,1
74,898,20:59.0,20:59.0,Health,Individual Health,1985364,96345.95,Annual,11.8,19,Male,East,No,28.7,,0
75,1364,20:59.0,20:59.0,Health,Family Floater,498377,16914.41,Annual,18.5,28,Male,South,Yes,19.9,,0
76,92,20:59.0,20:59.0,Health,Individual Health,897084,32454.82,Annual,19.4,67,Female,North,No,22.9,,1
77,1391,20:59.0,20:59.0,Health,Individual Health,541830,12308.79,Annual,11.3,48,Female,North,No,22,,1
78,956,20:59.0,20:59.0,Health,Family Floater,966004,35643.4,Monthly,9.7,73,Female,East,Yes,28.3,,1
79,1479,20:59.0,20:59.0,Auto,Comprehensive Auto,293767,10283.69,Monthly,19,32,Male,East,No,16.3,13,1
80,1452,20:59.0,20:59.0,Auto,Comprehensive Auto,1643786,35291.01,Annual,13.8,26,Female,East,No,19,5,1
81,509,20:59.0,20:59.0,Health,Critical Illness,477244,8153.98,Quarterly,2.2,40,Female,North,No,35.3,,1
82,776,20:59.0,20:59.0,Property,Home Insurance,554677,20053,Annual,9.8,36,Female,South,No,18.3,,1
83,1967,20:59.0,20:59.0,Life,Whole Life,1512108,63099.1,Annual,5.6,26,Male,South,No,20.8,,1
84,35,20:59.0,20:59.0,Health,Family Floater,913428,30434.55,Quarterly,9.9,52,Female,North,Yes,26.3,,1
85,206,20:59.0,20:59.0,Property,Home Insurance,1508760,34606.49,Annual,9.7,38,Male,West,No,27.9,,0
86,1105,20:59.0,20:59.0,Life,Endowment,866698,33219.03,Monthly,12.1,26,Male,South,No,34.1,,0
87,1956,20:59.0,20:59.0,Health,Critical Illness,568895,10128.44,Quarterly,7.8,45,Male,East,No,26.2,,1
88,1586,20:59.0,20:59.0,Health,Individual Health,1325393,40377.01,Annual,4.1,63,Female,West,No,34.7,,0
89,1896,20:59.0,20:59.0,Auto,Comprehensive Auto,467216,9679.7,Quarterly,10.6,68,Female,West,No,30.5,6,1
90,1412,20:59.0,20:59.0,Life,Whole Life,981515,21059.45,Annual,16.8,24,Male,South,No,17.8,,1
91,1026,20:59.0,20:59.0,Life,Term Life,1101442,24320.16,Annual,13.6,33,Male,West,No,18.9,,1
92,1022,20:59.0,20:59.0,Property,Theft Protection,162669,4641.72,Annual,7.4,33,Male,West,Yes,25.9,,1
93,1414,20:59.0,20:59.0,Auto,Comprehensive Auto,842330,14142.94,Annual,18.8,50,Male,South,Yes,24.9,10,0
94,566,20:59.0,20:59.0,Auto,Third Party,330539,9560.1,Quarterly,18.3,21,Male,South,No,33.6,14,1
95,1130,20:59.0,20:59.0,Auto,Third Party,1792955,59005.72,Annual,5,21,Male,West,Yes,29.5,5,1
96,1796,20:59.0,20:59.0,Auto,Third Party,1070747,34173.21,Quarterly,1.7,56,Female,East,No,24.7,10,0
97,1846,20:59.0,20:59.0,Life,Whole Life,316150,8977.85,Annual,15.1,57,Male,North,No,19.3,,1
98,1501,20:59.0,20:59.0,Life,Whole Life,739753,32822.94,Annual,16.7,34,Male,West,No,20.7,,1
99,703,20:59.0,20:59.0,Health,Individual Health,1895964,38083.16,Monthly,19.4,54,Male,West,No,29.4,,1
100,402,20:59.0,20:59.0,Health,Individual Health,493258,16129.23,Annual,17.9,56,Female,East,No,25.6,,1
101,730,20:59.0,20:59.0,Auto,Comprehensive Auto,539415,9262.54,Annual,12.4,69,Female,West,Yes,27.9,12,1
102,1580,20:59.0,20:59.0,Auto,Comprehensive Auto,997135,17440.34,Annual,11.1,46,Female,West,No,19.3,14,1
103,162,20:59.0,20:59.0,Auto,Third Party,1456396,51098.1,Annual,1.5,69,Male,North,No,31.6,11,0
104,202,20:59.0,20:59.0,Health,Critical Illness,696012,24228.63,Annual,5.7,53,Female,North,No,36.3,,1
105,1982,20:59.0,20:59.0,Property,Home Insurance,1685765,77092.01,Quarterly,9.7,55,Male,North,No,21.4,,1
106,996,20:59.0,20:59.0,Property,Theft Protection,943659,32580.37,Annual,12.9,56,Female,South,No,27.3,,1
107,270,20:59.0,20:59.0,Health,Individual Health,774857,37652.38,Annual,11.6,67,Female,South,No,39.4,,0
108,1887,20:59.0,20:59.0,Health,Individual Health,538029,8987.41,Monthly,15.1,54,Female,North,No,23.3,,0
109,816,20:59.0,20:59.0,Health,Critical Illness,1740056,32069.7,Annual,6.3,69,Female,North,No,29.9,,1
110,1295,20:59.0,20:59.0,Health,Family Floater,222646,3683.08,Monthly,11.7,52,Female,South,No,17.3,,1
111,456,20:59.0,20:59.0,Health,Individual Health,1392137,29909.63,Annual,2.7,24,Male,East,No,30.2,,1
112,1486,20:59.0,20:59.0,Health,Individual Health,400164,13583.35,Annual,8.9,44,Female,West,No,17.2,,1
113,1751,20:59.0,20:59.0,Auto,Comprehensive Auto,1444359,54300.71,Monthly,15.3,45,Male,West,No,39,5,1
114,1276,20:59.0,20:59.0,Auto,Own Damage,1556798,25835.81,Annual,14.2,39,Female,North,No,32.9,1,0
115,1017,20:59.0,20:59.0,Auto,Third Party,1193457,57416,Quarterly,19.8,31,Male,East,No,34.7,4,1
116,1726,20:59.0,20:59.0,Auto,Own Damage,292934,13028.47,Annual,6.3,24,Male,South,Yes,32.6,2,1
117,296,20:59.0,20:59.0,Health,Critical Illness,182659,4636.15,Annual,10.5,54,Male,North,Yes,29.7,,1
118,1749,20:59.0,20:59.0,Property,Fire Insurance,1744552,30881.3,Annual,7.3,39,Male,East,No,26.2,,1
119,720,20:59.0,20:59.0,Life,Endowment,551323,11548.04,Annual,9.4,22,Female,East,No,36.5,,1
120,1773,20:59.0,20:59.0,Health,Family Floater,689872,13413.22,Monthly,17.3,72,Female,East,Yes,38.9,,1
121,338,20:59.0,20:59.0,Life,Term Life,1808646,34933.88,Annual,14,19,Male,South,No,27.5,,0
122,879,20:59.0,20:59.0,Property,Fire Insurance,1971575,65357.04,Monthly,17.8,44,Male,South,No,38.3,,1
123,1077,20:59.0,20:59.0,Auto,Comprehensive Auto,797108,18815.46,Monthly,4.9,38,Female,West,No,29.6,6,1
124,792,20:59.0,20:59.0,Property,Theft Protection,912318,25120.58,Annual,17.6,71,Male,West,No,28.5,,1
125,1946,20:59.0,20:59.0,Health,Critical Illness,986320,48953.71,Annual,2.1,55,Female,East,Yes,26.4,,1
126,217,20:59.0,20:59.0,Auto,Comprehensive Auto,1839760,71660.49,Monthly,17.9,32,Female,East,No,20.2,3,0
127,764,20:59.0,20:59.0,Health,Critical Illness,865864,41747.05,Monthly,7.3,38,Female,South,No,15.1,,0
128,188,20:59.0,20:59.0,Auto,Third Party,1278265,25551.85,Annual,7,27,Female,West,No,21,0,1
129,380,20:59.0,20:59.0,Life,Term Life,1433093,40663.84,Annual,10.7,40,Male,East,Yes,27.7,,1
130,493,20:59.0,20:59.0,Life,Endowment,1263865,43496.69,Annual,18.9,73,Female,West,No,24.5,,1
131,1065,20:59.0,20:59.0,Life,Term Life,1381604,24435.78,Quarterly,1.9,56,Male,West,Yes,26.2,,1
132,1181,20:59.0,20:59.0,Property,Fire Insurance,317598,4810.52,Annual,7.7,22,Male,East,No,39.5,,1
133,15,20:59.0,20:59.0,Health,Family Floater,1697824,65307.14,Quarterly,17.3,18,Female,South,No,23.8,,0
134,1837,20:59.0,20:59.0,Property,Theft Protection,1200997,44993.77,Annual,8.5,30,Male,East,Yes,26.3,,1
135,65,20:59.0,20:59.0,Life,Whole Life,1336821,39272.6,Annual,4.8,38,Female,East,No,18.3,,1
136,1881,20:59.0,20:59.0,Health,Individual Health,1666482,53556.64,Annual,9.1,43,Female,West,Yes,16.2,,1
137,1863,20:59.0,20:59.0,Life,Whole Life,1051452,31060.42,Annual,8.3,67,Female,East,No,34.4,,0
138,521,20:59.0,20:59.0,Property,Home Insurance,1145687,18147.88,Annual,18.4,62,Female,South,No,29.3,,1
139,1368,20:59.0,20:59.0,Property,Home Insurance,482829,12909.88,Annual,15.5,38,Male,East,No,34,,0
140,1153,20:59.0,20:59.0,Property,Fire Insurance,266750,5654.53,Annual,10.6,70,Male,South,No,18.7,,1
141,648,20:59.0,20:59.0,Life,Endowment,170592,3146.54,Annual,19.8,35,Female,South,No,29.3,,1
142,1496,20:59.0,20:59.0,Health,Family Floater,284000,13769.8,Annual,9.8,54,Male,West,No,21.3,,0
143,1087,20:59.0,20:59.0,Health,Individual Health,830277,29871.37,Monthly,2.1,62,Female,North,No,20.7,,1
144,1163,20:59.0,20:59.0,Life,Term Life,372137,15072.65,Annual,6,49,Female,North,No,15.3,,1
145,1523,20:59.0,20:59.0,Health,Family Floater,1227228,31954.23,Annual,9.3,53,Female,West,No,18.3,,0
146,593,20:59.0,20:59.0,Life,Endowment,976352,28080.03,Annual,4,34,Male,East,No,22.7,,0
147,392,20:59.0,20:59.0,Health,Critical Illness,558069,12998.73,Monthly,19,52,Male,West,No,17.9,,1
148,1699,20:59.0,20:59.0,Auto,Comprehensive Auto,1701536,31297.71,Annual,15.6,66,Male,South,No,39.6,11,1
149,419,20:59.0,20:59.0,Auto,Comprehensive Auto,1873215,39835.99,Quarterly,6.1,28,Male,North,No,22.7,11,1
150,289,20:59.0,20:59.0,Property,Theft Protection,902557,38731.42,Quarterly,12.2,38,Female,West,No,18.3,,1
151,379,20:59.0,20:59.0,Auto,Third Party,1316092,50951.32,Quarterly,14.7,69,Male,East,No,20,5,1
152,1797,20:59.0,20:59.0,Auto,Comprehensive Auto,429653,14669.43,Annual,18.9,72,Male,West,Yes,29.7,5,1
153,1514,20:59.0,20:59.0,Auto,Comprehensive Auto,1160178,36694.28,Quarterly,17.8,70,Male,North,No,16.6,6,1
154,231,20:59.0,20:59.0,Life,Endowment,253117,11968.69,Annual,10.8,43,Female,West,No,36.6,,1
155,1018,20:59.0,20:59.0,Auto,Third Party,287069,5036.83,Annual,15.7,21,Female,West,No,39,14,1
156,41,20:59.0,20:59.0,Auto,Own Damage,616510,15302.41,Quarterly,11.7,51,Male,North,No,21.2,10,1
157,1052,20:59.0,20:59.0,Property,Fire Insurance,1934231,52703.59,Annual,11.5,69,Male,South,No,26.3,,0
158,135,20:59.0,20:59.0,Auto,Third Party,1339660,56781.36,Monthly,3.2,65,Male,South,No,15.6,7,0
159,201,20:59.0,20:59.0,Auto,Third Party,1340894,66693.4,Annual,3.4,35,Male,North,Yes,31,14,1
160,1864,20:59.0,20:59.0,Health,Individual Health,1688197,39543.43,Monthly,11.1,57,Female,West,No,25.3,,1
161,780,20:59.0,20:59.0,Property,Theft Protection,758092,34569.57,Annual,6.1,52,Female,North,Yes,21.8,,1
162,930,20:59.0,20:59.0,Property,Theft Protection,1483370,65374.78,Annual,1.4,58,Male,South,Yes,20.2,,1
163,1057,20:59.0,20:59.0,Property,Fire Insurance,1147996,26246.64,Annual,14.7,46,Male,East,No,31.4,,1
164,1072,20:59.0,20:59.0,Property,Home Insurance,649792,18828.79,Monthly,1.6,69,Other,West,No,25.4,,0
165,503,20:59.0,20:59.0,Property,Home Insurance,1625326,47684.71,Annual,12.3,46,Male,South,No,19.5,,1
166,407,20:59.0,20:59.0,Property,Theft Protection,321604,15835.05,Annual,11.2,55,Female,West,Yes,32.2,,1
167,1598,20:59.0,20:59.0,Life,Term Life,673607,14368.86,Annual,19.4,59,Male,North,No,29.1,,0
168,1752,20:59.0,20:59.0,Auto,Comprehensive Auto,1879538,80764.74,Quarterly,10.2,38,Female,East,No,36.5,2,1
169,805,20:59.0,20:59.0,Property,Fire Insurance,714635,19078.43,Annual,2.2,59,Male,North,No,17.9,,1
170,99,20:59.0,20:59.0,Auto,Comprehensive Auto,718629,29162.3,Annual,11.5,30,Female,East,No,34.6,13,0
171,684,20:59.0,20:59.0,Auto,Third Party,1752457,52048.65,Annual,17,66,Other,West,No,31.8,5,1
172,1896,20:59.0,20:59.0,Life,Endowment,1221248,43039.94,Annual,19.9,58,Male,West,No,17.9,,0
173,726,20:59.0,20:59.0,Property,Home Insurance,1557734,68760.58,Annual,9.2,34,Male,North,Yes,32.4,,1
174,1571,20:59.0,20:59.0,Health,Critical Illness,1433640,61855.54,Annual,7.1,73,Male,East,Yes,26,,1
175,961,20:59.0,20:59.0,Life,Endowment,563953,25561.06,Quarterly,18.2,26,Male,East,No,38.6,,1
176,1763,20:59.0,20:59.0,Health,Individual Health,1907561,32593.74,Annual,4.6,58,Male,West,No,18.5,,1
177,613,20:59.0,20:59.0,Auto,Comprehensive Auto,467582,18339.39,Annual,12.7,18,Male,North,No,31.1,9,1
178,1967,20:59.0,20:59.0,Auto,Own Damage,94036,1871.27,Annual,8.7,19,Female,East,No,24.5,1,1
179,1486,20:59.0,20:59.0,Life,Term Life,1247017,36853.9,Monthly,1.8,65,Male,West,No,38.9,,0
180,643,20:59.0,20:59.0,Life,Whole Life,192867,6596.17,Monthly,7.6,46,Male,South,No,23.2,,1
181,1793,20:59.0,20:59.0,Health,Family Floater,1168597,34001.36,Monthly,6,50,Female,North,No,39.1,,0
182,1029,20:59.0,20:59.0,Property,Home Insurance,419349,13916.69,Annual,14,27,Male,South,Yes,37.5,,1
183,1242,20:59.0,20:59.0,Health,Critical Illness,1559946,77807.64,Annual,19,67,Female,North,No,21.8,,0
184,503,20:59.0,20:59.0,Life,Term Life,735503,14513.39,Annual,6.1,57,Male,West,No,35.1,,1
185,767,20:59.0,20:59.0,Health,Individual Health,472641,18263.3,Annual,16.4,38,Female,East,No,39.9,,0
186,398,20:59.0,20:59.0,Life,Endowment,1973217,56947.11,Annual,2.1,45,Female,East,No,21.3,,1
187,871,20:59.0,20:59.0,Health,Critical Illness,387283,7612.18,Quarterly,11.2,28,Female,East,No,25.9,,1
188,795,20:59.0,20:59.0,Life,Whole Life,810592,16662.36,Monthly,2.3,72,Other,North,No,28,,1
189,393,20:59.0,20:59.0,Life,Endowment,1628232,78520.77,Monthly,18.7,51,Male,West,No,22.4,,1
190,207,20:59.0,20:59.0,Life,Whole Life,1758557,80517.38,Annual,15.6,25,Other,South,No,15.4,,1
191,1039,20:59.0,20:59.0,Property,Theft Protection,633117,29595.98,Quarterly,13.5,39,Male,West,No,20.5,,1
192,1882,20:59.0,20:59.0,Health,Individual Health,441180,21928.26,Annual,16.7,25,Male,South,No,22,,0
193,1578,20:59.0,20:59.0,Health,Family Floater,1552086,34597.61,Annual,13.3,66,Male,North,No,26.1,,1
194,892,20:59.0,20:59.0,Health,Family Floater,851151,23355.9,Quarterly,19.4,32,Female,North,No,19.3,,1
195,1485,20:59.0,20:59.0,Life,Whole Life,1652091,63477.74,Annual,14.6,34,Male,South,No,36.8,,1
196,1715,20:59.0,20:59.0,Health,Individual Health,683718,21833.23,Annual,18.6,40,Female,South,No,32.6,,1
197,1599,20:59.0,20:59.0,Health,Individual Health,450782,13362.82,Annual,10.8,41,Female,South,No,17.1,,1
198,864,20:59.0,20:59.0,Life,Term Life,62306,1714.87,Quarterly,3.2,62,Female,West,No,31.3,,1
199,743,20:59.0,20:59.0,Auto,Comprehensive Auto,628110,22475.23,Quarterly,11,36,Female,South,No,31.3,12,1
200,1265,20:59.0,20:59.0,Life,Term Life,74042,2602.26,Annual,3.4,22,Male,North,Yes,38.9,,1
201,564,20:59.0,20:59.0,Health,Family Floater,458302,9464.41,Monthly,12.3,49,Male,North,Yes,15.1,,0
202,1021,20:59.0,20:59.0,Life,Term Life,722747,22774.4,Annual,10.2,61,Male,East,No,21.2,,1
203,96,20:59.0,20:59.0,Auto,Third Party,663712,22812.79,Annual,12.8,18,Male,South,No,38.2,13,1
204,1924,20:59.0,20:59.0,Life,Term Life,1281266,44793.11,Quarterly,1.2,40,Male,West,No,38.3,,1
205,1758,20:59.0,20:59.0,Health,Critical Illness,797410,17825.11,Quarterly,4.7,54,Male,West,No,33,,0
206,485,20:59.0,20:59.0,Auto,Third Party,199395,8171.11,Monthly,10.3,25,Male,West,No,34.1,8,0
207,1431,20:59.0,20:59.0,Property,Theft Protection,1640883,26060.45,Annual,19.1,30,Other,East,Yes,17.3,,1
208,231,20:59.0,20:59.0,Health,Family Floater,911858,25002.34,Quarterly,8.3,25,Female,North,Yes,27.8,,0
209,749,20:59.0,20:59.0,Auto,Own Damage,1663727,70388.03,Quarterly,9.1,74,Male,West,Yes,20.8,1,1
210,1679,20:59.0,20:59.0,Auto,Comprehensive Auto,1088457,37808.92,Monthly,14.6,40,Female,North,No,19.5,2,1
211,1195,20:59.0,20:59.0,Property,Home Insurance,685311,16543.88,Annual,12.5,60,Male,East,No,35.3,,1
212,541,20:59.0,20:59.0,Life,Term Life,1764219,69375.02,Quarterly,6.7,18,Male,South,Yes,18.4,,0
213,1060,20:59.0,20:59.0,Life,Whole Life,985783,34363.1,Annual,8.8,62,Female,South,No,26.7,,1
214,525,20:59.0,20:59.0,Health,Critical Illness,1407719,60346.84,Annual,5.1,68,Female,South,Yes,38.5,,1
215,1184,20:59.0,20:59.0,Property,Home Insurance,112780,4593.06,Annual,19.4,41,Male,West,No,19.6,,1
216,1863,20:59.0,20:59.0,Life,Endowment,859340,31240.25,Annual,3.5,52,Other,South,No,39.4,,1
217,1723,20:59.0,20:59.0,Property,Theft Protection,1815520,58253.17,Annual,8.1,41,Female,West,No,39.9,,1
218,1267,20:59.0,20:59.0,Life,Term Life,1486998,29236.42,Monthly,1.5,34,Female,East,No,28.9,,1
219,1110,20:59.0,20:59.0,Auto,Comprehensive Auto,1998010,48245.26,Annual,5.2,22,Female,East,No,19.3,11,1
220,1820,20:59.0,20:59.0,Life,Endowment,1542017,45749.3,Quarterly,15.8,37,Female,West,No,22.9,,1
221,578,20:59.0,20:59.0,Property,Home Insurance,1791888,64464.02,Annual,4.8,38,Male,North,No,25.6,,1
222,682,20:59.0,20:59.0,Auto,Comprehensive Auto,1199282,39552.05,Annual,2.5,57,Male,South,No,22.7,14,1
223,557,20:59.0,20:59.0,Auto,Comprehensive Auto,1791599,44944.87,Annual,10,48,Male,South,No,22,14,1
224,1598,20:59.0,20:59.0,Auto,Third Party,172019,2619.2,Annual,1.2,63,Male,South,No,39.3,12,0
225,1977,20:59.0,20:59.0,Property,Theft Protection,421852,13654.66,Annual,2.6,53,Female,West,No,18.8,,1
226,1013,20:59.0,20:59.0,Health,Critical Illness,1815317,45377.31,Annual,16.3,28,Male,East,No,33.3,,1
227,646,20:59.0,20:59.0,Health,Family Floater,229001,9322.93,Annual,15.7,69,Other,South,Yes,15,,1
228,796,20:59.0,20:59.0,Health,Critical Illness,845775,13395.49,Annual,18.4,32,Female,East,No,29.9,,1
229,1052,20:59.0,20:59.0,Property,Home Insurance,1961181,69561.08,Annual,17.2,36,Female,South,No,37.9,,1
230,1644,20:59.0,20:59.0,Auto,Own Damage,1198836,57486.1,Annual,14,24,Female,South,Yes,22.2,9,1
231,1580,20:59.0,20:59.0,Health,Individual Health,1269439,26790.65,Annual,2,68,Female,West,No,19.6,,1
232,1364,20:59.0,20:59.0,Property,Fire Insurance,734494,23142.24,Monthly,15.9,45,Male,North,No,31.3,,1
